
### mask threshold |dRGB| > 6
arm                        ownMaskPx  ownW  ownD90 | pinnedW pinnedD90  pinNear  pinOpen
prefix                       333474     1      3 |       1         3  105.952  114.358
fixed                        326273    15     17 |      15        17   98.818  110.941
no-shorefade                 332632     1      3 |       1         3  104.878  113.716
null-const-trans             333070     1      3 |       1         3  105.306  113.516
k-2.6-blackwood              327394    14     16 |      15        17   98.785  111.977
k-1.4-topal                  325611    13     15 |      13        15   98.424  109.802
k-0.35-padomaic              323314     1      3 |       1         3    97.08  104.844
nothing-restore-control      326738    15     17 |      15        17   98.372  110.943

### mask threshold |dRGB| > 4
arm                        ownMaskPx  ownW  ownD90 | pinnedW pinnedD90  pinNear  pinOpen
prefix                       336442     2      4 |       1         3  103.388  114.223
fixed                        330973    15     17 |      16        18   96.895   110.78
no-shorefade                 335912     2      4 |       1         3   102.41  113.622
null-const-trans             336205     2      4 |       1         3  102.789  113.402
k-2.6-blackwood              331939    15     17 |      16        18   96.801  111.804
k-1.4-topal                  330592    10     12 |      12        14   96.517  109.666
k-0.35-padomaic              328744     1      3 |       2         4   95.211  104.884
nothing-restore-control      331532    16     18 |      16        18   96.408  110.779

### mask threshold |dRGB| > 10
arm                        ownMaskPx  ownW  ownD90 | pinnedW pinnedD90  pinNear  pinOpen
prefix                       328766     1      3 |       1         2  111.265  114.418
fixed                        315328    16     18 |      16        18  102.717  111.482
no-shorefade                 327483     1      3 |       1         2  110.034  113.976
null-const-trans             328279     1      3 |       1         2  110.533  113.524
k-2.6-blackwood              316632    15     17 |      16        18  102.784  112.499
k-1.4-topal                  314370    20     22 |      17        19  102.328  110.346
k-0.35-padomaic              310478     1      3 |       1         3  101.035  105.287
nothing-restore-control      315724    16     18 |      16        18  102.369  111.484
